epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.397,1.67495,2.70222,1.53333,0.90883,0.07591,0.32458,0.16291,1.62493,2.96908,1.38945,0.00058,0.00058,0.00058
2,407.558,1.5606,2.00536,1.44369,0.35896,0.08954,0.10394,0.04119,2.00639,3.22372,1.84244,0.00115664,0.00115664,0.00115664
3,572.478,1.56188,1.96415,1.52246,0.45647,0.33756,0.32458,0.14553,1.87901,2.52537,1.81535,0.00170951,0.00170951,0.00170951
4,736.278,1.60138,1.90904,1.53543,0.09674,0.16751,0.05215,0.02163,2.01336,3.43414,1.83051,0.0018812,0.0018812,0.0018812
5,902.961,1.55486,1.75399,1.49237,0.41407,0.41371,0.38463,0.17993,1.77724,3.03794,1.6583,0.0018416,0.0018416,0.0018416
6,1075.14,1.54286,1.68252,1.46126,0.41329,0.30457,0.29453,0.13362,1.82874,2.49,1.67891,0.001802,0.001802,0.001802
7,1239.31,1.54595,1.63203,1.49803,0.55224,0.47716,0.4669,0.22796,1.72177,2.23198,1.56186,0.0017624,0.0017624,0.0017624
8,1434.91,1.50351,1.6066,1.48068,0.5814,0.50254,0.51695,0.25372,1.70221,1.8787,1.55247,0.0017228,0.0017228,0.0017228
9,1649.39,1.46455,1.56949,1.4055,0.69233,0.49116,0.56236,0.30717,1.60141,1.74792,1.53494,0.0016832,0.0016832,0.0016832
10,1954.45,1.46314,1.4058,1.41003,0.71407,0.50707,0.57524,0.28657,1.6771,1.71936,1.52399,0.0016436,0.0016436,0.0016436
11,2169.68,1.46319,1.41899,1.40067,0.52803,0.43401,0.45359,0.2313,1.65418,2.00532,1.55962,0.001604,0.001604,0.001604
12,2394.86,1.40981,1.36362,1.35695,0.60591,0.5,0.54622,0.28371,1.64326,1.78167,1.50438,0.0015644,0.0015644,0.0015644
